[07:30:14.719][info] Environment started  [345/724 mB]
[07:30:14.777][info] status: 0.00%  complete : sim time = 0.00 : jumps = 0  [350/724 mB]
[07:30:24.720][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [432/724 mB]
[07:30:34.721][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [483/724 mB]
[07:30:44.722][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [534/724 mB]
[07:30:54.723][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [580/724 mB]
[07:31:04.724][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [150/1229 mB]
[07:31:14.725][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [196/1229 mB]
[07:31:24.726][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [242/1229 mB]
[07:31:34.727][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [297/1229 mB]
[07:31:44.728][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [343/1229 mB]
[07:31:54.729][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [389/1229 mB]
[07:32:04.730][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [426/1229 mB]
[07:32:14.737][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [472/1229 mB]
[07:32:24.738][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [518/1229 mB]
[07:32:34.739][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [573/1229 mB]
[07:32:44.740][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [619/1229 mB]
[07:32:54.741][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [674/1229 mB]
[07:33:04.742][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [720/1229 mB]
[07:33:14.743][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [766/1229 mB]
[07:33:24.747][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [821/1229 mB]
[07:33:34.751][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [867/1229 mB]
[07:33:44.752][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [912/1229 mB]
[07:33:54.753][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [958/1229 mB]
[07:34:04.754][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1013/1229 mB]
[07:34:14.758][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1059/1229 mB]
[07:34:24.762][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1105/1229 mB]
[07:34:34.763][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [112/1236 mB]
[07:34:44.764][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [151/1236 mB]
[07:34:54.765][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [204/1236 mB]
[07:35:04.766][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [256/1236 mB]
[07:35:14.767][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [295/1236 mB]
[07:35:24.768][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [348/1236 mB]
[07:35:34.769][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [400/1236 mB]
[07:35:44.770][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [452/1236 mB]
[07:35:54.771][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [492/1236 mB]
[07:36:04.772][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [544/1236 mB]
[07:36:14.773][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [596/1236 mB]
[07:36:24.774][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [636/1236 mB]
[07:36:34.776][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [688/1236 mB]
[07:36:44.777][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [740/1236 mB]
[07:36:54.778][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [793/1236 mB]
[07:37:04.779][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [832/1236 mB]
[07:37:14.780][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [884/1236 mB]
[07:37:24.781][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [937/1236 mB]
[07:37:34.785][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [976/1236 mB]
[07:37:44.786][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1028/1236 mB]
[07:37:54.787][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1081/1236 mB]
[07:38:04.788][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [112/1487 mB]
[07:38:14.789][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [170/1487 mB]
[07:38:24.790][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [209/1487 mB]
[07:38:34.791][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [268/1487 mB]
[07:38:44.793][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [307/1487 mB]
[07:38:54.795][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [365/1487 mB]
[07:39:04.796][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [404/1487 mB]
[07:39:14.797][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [462/1487 mB]
[07:39:24.798][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [521/1487 mB]
[07:39:34.799][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [560/1487 mB]
[07:39:44.800][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [618/1487 mB]
[07:39:54.801][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [657/1487 mB]
[07:40:04.803][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [716/1487 mB]
[07:40:14.804][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [755/1487 mB]
[07:40:24.805][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [814/1487 mB]
[07:40:34.806][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [872/1487 mB]
[07:40:44.807][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [911/1487 mB]
[07:40:54.808][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [970/1487 mB]
[07:41:04.809][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1028/1487 mB]
[07:41:14.810][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1067/1487 mB]
[07:41:24.811][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1126/1487 mB]
[07:41:34.812][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1165/1487 mB]
[07:41:44.816][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1223/1487 mB]
[07:41:54.820][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1262/1487 mB]
[07:42:04.824][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [1320/1487 mB]
[07:42:14.828][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [116/1440 mB]
[07:42:24.832][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [159/1440 mB]
[07:42:34.833][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [202/1440 mB]
[07:42:44.837][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [267/1440 mB]
[07:42:54.841][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [310/1440 mB]
[07:43:04.842][info] monitor : 8.74% complete : sim time = 2.18 : jumps = 0  [353/1440 mB]
